runId,found,totalTimeMs,fitness,heuristic,nbWires,nbComparators,limit,SUBSUMPTION,FITNESS_RANDOM,VARIANCE_RANDOM
1,1,0,FitnessArticleFormula,Greedy,4,5,200,false,true,false
1,1,4,FitnessArticleFormula,Greedy,5,9,200,false,true,false
1,1,17,FitnessArticleFormula,Greedy,6,12,200,false,true,false
1,1,252,FitnessArticleFormula,Greedy,7,16,200,false,true,false
2,1,0,FitnessArticleFormula,Greedy,3,3,200,false,true,false
2,1,0,FitnessArticleFormula,Greedy,4,5,200,false,true,false
2,1,7,FitnessArticleFormula,Greedy,5,9,200,false,true,false
2,1,19,FitnessArticleFormula,Greedy,6,12,200,false,true,false
2,1,275,FitnessArticleFormula,Greedy,7,16,200,false,true,false
3,1,4,FitnessArticleFormula,Greedy,3,3,200,false,true,false
3,1,21,FitnessArticleFormula,Greedy,4,5,200,false,true,false
3,1,0,FitnessArticleFormula,Greedy,5,9,200,false,true,false
3,1,24,FitnessArticleFormula,Greedy,6,12,200,false,true,false
3,1,269,FitnessArticleFormula,Greedy,7,16,200,false,true,false
4,1,0,FitnessArticleFormula,Greedy,3,3,200,false,true,false
4,1,0,FitnessArticleFormula,Greedy,4,5,200,false,true,false
4,1,19,FitnessArticleFormula,Greedy,5,9,200,false,true,false
4,1,16,FitnessArticleFormula,Greedy,6,12,200,false,true,false
4,1,265,FitnessArticleFormula,Greedy,7,16,200,false,true,false
5,1,3,FitnessArticleFormula,Greedy,3,3,200,false,true,false
5,1,6,FitnessArticleFormula,Greedy,4,5,200,false,true,false
5,1,6,FitnessArticleFormula,Greedy,5,9,200,false,true,false
5,1,17,FitnessArticleFormula,Greedy,6,12,200,false,true,false
5,1,289,FitnessArticleFormula,Greedy,7,16,200,false,true,false
6,1,4,FitnessArticleFormula,Greedy,3,3,200,false,true,false
6,1,0,FitnessArticleFormula,Greedy,4,5,200,false,true,false
6,1,7,FitnessArticleFormula,Greedy,5,9,200,false,true,false
6,1,22,FitnessArticleFormula,Greedy,6,12,200,false,true,false
6,1,262,FitnessArticleFormula,Greedy,7,16,200,false,true,false
7,1,0,FitnessArticleFormula,Greedy,3,3,200,false,true,false
7,1,0,FitnessArticleFormula,Greedy,4,5,200,false,true,false
7,1,0,FitnessArticleFormula,Greedy,5,9,200,false,true,false
7,1,30,FitnessArticleFormula,Greedy,6,12,200,false,true,false
7,1,258,FitnessArticleFormula,Greedy,7,16,200,false,true,false
8,1,4,FitnessArticleFormula,Greedy,3,3,200,false,true,false
8,1,6,FitnessArticleFormula,Greedy,4,5,200,false,true,false
8,1,18,FitnessArticleFormula,Greedy,5,9,200,false,true,false
8,1,17,FitnessArticleFormula,Greedy,6,12,200,false,true,false
8,1,255,FitnessArticleFormula,Greedy,7,16,200,false,true,false
9,1,6,FitnessArticleFormula,Greedy,3,3,200,false,true,false
9,1,0,FitnessArticleFormula,Greedy,4,5,200,false,true,false
9,1,18,FitnessArticleFormula,Greedy,5,9,200,false,true,false
9,1,18,FitnessArticleFormula,Greedy,6,12,200,false,true,false
9,1,265,FitnessArticleFormula,Greedy,7,16,200,false,true,false
10,1,0,FitnessArticleFormula,Greedy,3,3,200,false,true,false
10,1,9,FitnessArticleFormula,Greedy,4,5,200,false,true,false
10,1,0,FitnessArticleFormula,Greedy,5,9,200,false,true,false
10,1,30,FitnessArticleFormula,Greedy,6,12,200,false,true,false
10,1,279,FitnessArticleFormula,Greedy,7,16,200,false,true,false
11,1,3,FitnessArticleFormula,Greedy,3,3,200,false,true,false
11,1,6,FitnessArticleFormula,Greedy,4,5,200,false,true,false
11,1,9,FitnessArticleFormula,Greedy,5,9,200,false,true,false
11,1,17,FitnessArticleFormula,Greedy,6,12,200,false,true,false
11,1,256,FitnessArticleFormula,Greedy,7,16,200,false,true,false
12,1,2,FitnessArticleFormula,Greedy,3,3,200,false,true,false
12,1,17,FitnessArticleFormula,Greedy,4,5,200,false,true,false
12,1,12,FitnessArticleFormula,Greedy,5,9,200,false,true,false
12,1,15,FitnessArticleFormula,Greedy,6,12,200,false,true,false
12,1,255,FitnessArticleFormula,Greedy,7,16,200,false,true,false
13,1,4,FitnessArticleFormula,Greedy,3,3,200,false,true,false
13,1,7,FitnessArticleFormula,Greedy,4,5,200,false,true,false
13,1,6,FitnessArticleFormula,Greedy,5,9,200,false,true,false
13,1,22,FitnessArticleFormula,Greedy,6,12,200,false,true,false
13,1,275,FitnessArticleFormula,Greedy,7,16,200,false,true,false
14,1,0,FitnessArticleFormula,Greedy,3,3,200,false,true,false
14,1,12,FitnessArticleFormula,Greedy,4,5,200,false,true,false
14,1,8,FitnessArticleFormula,Greedy,5,9,200,false,true,false
14,1,23,FitnessArticleFormula,Greedy,6,12,200,false,true,false
14,1,260,FitnessArticleFormula,Greedy,7,16,200,false,true,false
15,1,0,FitnessArticleFormula,Greedy,3,3,200,false,true,false
15,1,0,FitnessArticleFormula,Greedy,4,5,200,false,true,false
15,1,16,FitnessArticleFormula,Greedy,5,9,200,false,true,false
15,1,18,FitnessArticleFormula,Greedy,6,12,200,false,true,false
15,1,272,FitnessArticleFormula,Greedy,7,16,200,false,true,false
16,1,0,FitnessArticleFormula,Greedy,3,3,200,false,true,false
16,1,0,FitnessArticleFormula,Greedy,4,5,200,false,true,false
16,1,2,FitnessArticleFormula,Greedy,5,9,200,false,true,false
16,1,16,FitnessArticleFormula,Greedy,6,12,200,false,true,false
16,1,269,FitnessArticleFormula,Greedy,7,16,200,false,true,false
17,1,4,FitnessArticleFormula,Greedy,3,3,200,false,true,false
17,1,1,FitnessArticleFormula,Greedy,4,5,200,false,true,false
17,1,8,FitnessArticleFormula,Greedy,5,9,200,false,true,false
17,1,22,FitnessArticleFormula,Greedy,6,12,200,false,true,false
17,1,251,FitnessArticleFormula,Greedy,7,16,200,false,true,false
18,1,0,FitnessArticleFormula,Greedy,3,3,200,false,true,false
18,1,0,FitnessArticleFormula,Greedy,4,5,200,false,true,false
18,1,15,FitnessArticleFormula,Greedy,5,9,200,false,true,false
18,1,24,FitnessArticleFormula,Greedy,6,12,200,false,true,false
