runId,found,totalTimeMs,fitness,heuristic,nbWires,nbComparators,SUBSUMPTION,FITNESS_RANDOM,VARIANCE_RANDOM
17,1,33164,FitnessBad0,Greedy,13,45,true,false,false
17,1,50483,FitnessBad0,Greedy,14,51,true,false,false
17,1,93465,FitnessBad0,Greedy,15,56,true,false,false
17,1,105101,FitnessBad0,Greedy,16,60,true,false,false
18,1,0,FitnessBad0,Greedy,8,19,true,false,false
18,1,199,FitnessBad0,Greedy,9,25,true,false,false
18,0,2335,FitnessBad0,Greedy,10,29,true,false,false
18,1,10313,FitnessBad0,Greedy,11,35,true,false,false
18,1,11111,FitnessBad0,Greedy,12,39,true,false,false
18,1,33588,FitnessBad0,Greedy,13,45,true,false,false
18,1,50918,FitnessBad0,Greedy,14,51,true,false,false
18,1,93322,FitnessBad0,Greedy,15,56,true,false,false
18,1,105418,FitnessBad0,Greedy,16,60,true,false,false
19,1,6,FitnessBad0,Greedy,8,19,true,false,false
19,1,186,FitnessBad0,Greedy,9,25,true,false,false
19,0,2263,FitnessBad0,Greedy,10,29,true,false,false
19,1,10277,FitnessBad0,Greedy,11,35,true,false,false
19,1,10699,FitnessBad0,Greedy,12,39,true,false,false
19,1,33331,FitnessBad0,Greedy,13,45,true,false,false
19,1,50200,FitnessBad0,Greedy,14,51,true,false,false
19,1,93437,FitnessBad0,Greedy,15,56,true,false,false
19,1,105739,FitnessBad0,Greedy,16,60,true,false,false
20,1,18,FitnessBad0,Greedy,8,19,true,false,false
20,1,345,FitnessBad0,Greedy,9,25,true,false,false
20,0,2292,FitnessBad0,Greedy,10,29,true,false,false
20,1,9829,FitnessBad0,Greedy,11,35,true,false,false
20,1,10706,FitnessBad0,Greedy,12,39,true,false,false
20,1,33503,FitnessBad0,Greedy,13,45,true,false,false
20,1,50676,FitnessBad0,Greedy,14,51,true,false,false
20,1,93450,FitnessBad0,Greedy,15,56,true,false,false
20,1,105344,FitnessBad0,Greedy,16,60,true,false,false
21,1,7,FitnessBad0,Greedy,8,19,true,false,false
21,1,188,FitnessBad0,Greedy,9,25,true,false,false
21,0,2222,FitnessBad0,Greedy,10,29,true,false,false
21,1,10274,FitnessBad0,Greedy,11,35,true,false,false
21,1,10737,FitnessBad0,Greedy,12,39,true,false,false
21,1,33750,FitnessBad0,Greedy,13,45,true,false,false
21,1,50917,FitnessBad0,Greedy,14,51,true,false,false
21,1,93139,FitnessBad0,Greedy,15,56,true,false,false
21,1,105811,FitnessBad0,Greedy,16,60,true,false,false
22,1,5,FitnessBad0,Greedy,8,19,true,false,false
22,1,200,FitnessBad0,Greedy,9,25,true,false,false
22,0,2358,FitnessBad0,Greedy,10,29,true,false,false
22,1,10037,FitnessBad0,Greedy,11,35,true,false,false
22,1,10502,FitnessBad0,Greedy,12,39,true,false,false
22,1,33325,FitnessBad0,Greedy,13,45,true,false,false
22,1,51143,FitnessBad0,Greedy,14,51,true,false,false
22,1,94019,FitnessBad0,Greedy,15,56,true,false,false
22,1,105439,FitnessBad0,Greedy,16,60,true,false,false
23,1,23,FitnessBad0,Greedy,8,19,true,false,false
23,1,414,FitnessBad0,Greedy,9,25,true,false,false
23,0,2211,FitnessBad0,Greedy,10,29,true,false,false
23,1,9761,FitnessBad0,Greedy,11,35,true,false,false
23,1,10712,FitnessBad0,Greedy,12,39,true,false,false
23,1,33142,FitnessBad0,Greedy,13,45,true,false,false
23,1,50964,FitnessBad0,Greedy,14,51,true,false,false
23,1,92708,FitnessBad0,Greedy,15,56,true,false,false
23,1,105631,FitnessBad0,Greedy,16,60,true,false,false
24,1,5,FitnessBad0,Greedy,8,19,true,false,false
24,1,189,FitnessBad0,Greedy,9,25,true,false,false
24,0,2289,FitnessBad0,Greedy,10,29,true,false,false
